latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.59831,-55.33728,309.48,1.21,1.09,2026-06-04,1214,T,64,6.1NRT,294.86,8.69,D
-11.59995,-55.32655,308.48,1.2,1.09,2026-06-04,1214,T,62,6.1NRT,294.68,7.85,D
-11.62102,-55.18823,309.35,1.18,1.08,2026-06-04,1214,T,58,6.1NRT,295.7,7.95,D
-11.62262,-55.1777,310.13,1.18,1.08,2026-06-04,1214,T,63,6.1NRT,297.06,8.41,D
-12.65697,-47.66351,315.74,1.78,1.31,2026-06-04,1214,T,56,6.1NRT,294.28,25.93,D
-11.63054,-55.18969,350.12,1.18,1.08,2026-06-04,1214,T,96,6.1NRT,297.31,76.1,D
-11.63214,-55.17916,326.23,1.18,1.08,2026-06-04,1214,T,83,6.1NRT,297.25,26.68,D
-12.6685,-47.66497,316.08,1.78,1.31,2026-06-04,1214,T,64,6.1NRT,293.6,26.13,D
-11.73393,-54.80089,313.22,1.13,1.06,2026-06-04,1214,T,62,6.1NRT,298.5,9.32,D
-11.67584,-56.76314,305.23,1.48,1.2,2026-06-04,1214,T,46,6.1NRT,294.43,6.42,D
-12.1806,-54.53973,304.95,1.09,1.04,2026-06-04,1214,T,52,6.1NRT,294.61,4.82,D
-12.66363,-51.43468,313.83,1.06,1.03,2026-06-04,1214,T,69,6.1NRT,297.05,8.93,D
-12.22811,-57.28824,319.35,1.58,1.24,2026-06-04,1214,T,64,6.1NRT,294.55,25.75,D
-12.23036,-57.27409,328.77,1.58,1.24,2026-06-04,1214,T,85,6.1NRT,296.72,45.74,D
-12.73795,-54.20582,308.48,1.05,1.02,2026-06-04,1214,T,31,6.1NRT,297.59,5.14,D
-12.73933,-54.19641,311.12,1.05,1.02,2026-06-04,1214,T,53,6.1NRT,297.78,7.26,D
-12.45626,-58.46661,307,1.92,1.35,2026-06-04,1214,T,23,6.1NRT,294.34,13.54,D
-12.46193,-58.47349,313.88,1.92,1.35,2026-06-04,1214,T,73,6.1NRT,295.75,28.32,D
-6.74972,-71.69811,303.95,1.62,1.25,2026-06-04,1353,T,43,6.1NRT,289.62,5.33,D
-7.9396,-71.46348,315.9,1.76,1.3,2026-06-04,1353,T,74,6.1NRT,293.51,25.15,D
11.73632,-70.19273,327.61,1.14,1.06,2026-06-04,1346,T,60,6.1NRT,289.5,22.66,D
9.61798,-63.73038,323.41,3.71,1.8,2026-06-04,1346,T,66,6.1NRT,285.53,125.4,D
-6.30029,-45.70541,314.45,2.46,1.51,2026-06-04,1900,A,64,6.1NRT,296.58,20.96,D
-6.57957,-51.09887,332.76,1.06,1.03,2026-06-04,1900,A,86,6.1NRT,299.48,29.56,D
-6.58096,-51.1081,324.24,1.05,1.03,2026-06-04,1900,A,79,6.1NRT,297.46,18.08,D
-6.12907,-48.55876,311.32,1.48,1.2,2026-06-04,1900,A,56,6.1NRT,296.07,8.58,D
-25.03603,-57.62192,316.04,3.37,1.73,2026-06-04,1856,A,76,6.1NRT,294.57,70.84,D
-24.92749,-56.13394,305.1,2.61,1.55,2026-06-04,1856,A,58,6.1NRT,294.23,20.13,D
-24.851,-55.5171,306.26,2.34,1.48,2026-06-04,1856,A,61,6.1NRT,294.14,17.07,D
-24.45948,-52.34871,325.92,1.39,1.17,2026-06-04,1856,A,84,6.1NRT,295.16,37.63,D
-23.32334,-46.7519,300.22,1.09,1.04,2026-06-04,1856,A,26,6.1NRT,287.75,3.39,D
-24.0442,-52.61959,305.33,1.42,1.18,2026-06-04,1856,A,59,6.1NRT,294.22,9.11,D
-23.82629,-51.92193,309.59,1.28,1.12,2026-06-04,1856,A,68,6.1NRT,295.72,9.79,D
-23.82781,-51.93425,339.31,1.28,1.12,2026-06-04,1856,A,91,6.1NRT,296.58,57.86,D
-23.86974,-52.51995,342.84,1.39,1.17,2026-06-04,1856,A,93,6.1NRT,296.61,76.16,D
-24.3191,-57.67722,313.17,3.34,1.72,2026-06-04,1856,A,72,6.1NRT,294.43,56.38,D
-24.32195,-57.68101,307.64,3.34,1.72,2026-06-04,1856,A,64,6.1NRT,294.3,35.53,D
-24.01291,-57.60483,306.27,3.26,1.71,2026-06-04,1856,A,60,6.1NRT,294.97,29.79,D
-23.93052,-57.1881,306.95,3.03,1.66,2026-06-04,1856,A,53,6.1NRT,295.28,25.91,D
-23.92689,-57.16376,305.61,3.02,1.65,2026-06-04,1856,A,58,6.1NRT,294.92,23.15,D
-23.92968,-57.19274,306.06,3.03,1.66,2026-06-04,1856,A,51,6.1NRT,295.24,24.29,D
-22.79809,-49.32846,307.54,1.01,1,2026-06-04,1856,A,58,6.1NRT,293.65,5.3,D
-22.79947,-49.33801,320.12,1.01,1,2026-06-04,1856,A,79,6.1NRT,296.91,15.53,D
-22.78929,-49.32996,312.4,1.01,1,2026-06-04,1856,A,53,6.1NRT,294.37,8.35,D
-22.79066,-49.33949,331.99,1.01,1,2026-06-04,1856,A,87,6.1NRT,295.96,28.84,D
-22.56068,-48.34556,308.94,1.01,1,2026-06-04,1856,A,66,6.1NRT,295.66,6.87,D
-22.5621,-48.35504,332.33,1.01,1,2026-06-04,1856,A,83,6.1NRT,295.59,30.29,D
-21.21513,-47.58302,311.66,1.06,1.03,2026-06-04,1858,A,69,6.1NRT,297.55,7.8,D
-20.99069,-48.84646,315.43,1,1,2026-06-04,1858,A,72,6.1NRT,298.56,10.37,D
-20.27318,-46.72361,305.85,1.18,1.08,2026-06-04,1858,A,55,6.1NRT,293.98,6.44,D
-20.2637,-46.72522,305.82,1.18,1.08,2026-06-04,1858,A,55,6.1NRT,294.89,6.25,D
-19.85493,-48.35409,312.39,1.03,1.02,2026-06-04,1858,A,67,6.1NRT,297.92,8.72,D
-19.91143,-48.96412,312.42,1.01,1,2026-06-04,1858,A,66,6.1NRT,298.14,7.32,D
-20.32372,-52.15849,314.82,1.2,1.09,2026-06-04,1858,A,70,6.1NRT,297.81,12.34,D
-19.42007,-46.47263,308.82,1.25,1.11,2026-06-04,1858,A,65,6.1NRT,294.02,10.12,D
-19.353,-49.1977,310.05,1,1,2026-06-04,1858,A,60,6.1NRT,299.43,4.84,D
-18.5573,-44.83005,307.78,1.66,1.27,2026-06-04,1858,A,61,6.1NRT,295.1,13.47,D
-19.17272,-49.10721,309.49,1.01,1,2026-06-04,1858,A,58,6.1NRT,299.29,5.47,D
-19.74612,-53.53447,309.33,1.42,1.18,2026-06-04,1858,A,33,6.1NRT,297.39,6.17,D
-19.74778,-53.54773,326.9,1.43,1.18,2026-06-04,1858,A,82,6.1NRT,300.64,33.27,D
-19.73738,-53.54914,318.14,1.43,1.18,2026-06-04,1858,A,74,6.1NRT,300.85,18.76,D
